Group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26
A,cohesion,consensus,discuss,synthesis,adapt,consensus,plan,consensus,,,,,,,,,,,,,,,,,,
A,plan,emotion,consensus,discuss,synthesis,adapt,emotion,,,,,,,,,,,,,,,,,,,
A,consensus,coregulate,monitor,consensus,plan,emotion,consensus,monitor,consensus,coregulate,emotion,cohesion,cohesion,consensus,plan,emotion,plan,plan,consensus,monitor,consensus,plan,emotion,plan,consensus,discuss
A,monitor,emotion,plan,discuss,synthesis,consensus,discuss,cohesion,consensus,plan,plan,emotion,,,,,,,,,,,,,,
A,discuss,emotion,cohesion,,,,,,,,,,,,,,,,,,,,,,,
A,plan,plan,consensus,plan,plan,plan,plan,plan,emotion,plan,plan,consensus,coregulate,adapt,cohesion,consensus,plan,consensus,,,,,,,,
A,plan,discuss,coregulate,,,,,,,,,,,,,,,,,,,,,,,
A,plan,emotion,consensus,discuss,consensus,plan,consensus,plan,monitor,discuss,consensus,plan,consensus,coregulate,consensus,consensus,plan,plan,consensus,emotion,cohesion,consensus,emotion,plan,plan,
A,discuss,consensus,,,,,,,,,,,,,,,,,,,,,,,,
A,emotion,cohesion,discuss,synthesis,,,,,,,,,,,,,,,,,,,,,,
A,monitor,plan,plan,consensus,discuss,consensus,coregulate,emotion,plan,emotion,cohesion,consensus,discuss,consensus,plan,emotion,cohesion,plan,consensus,plan,plan,monitor,,,,
A,consensus,consensus,plan,cohesion,consensus,discuss,synthesis,consensus,discuss,discuss,cohesion,monitor,consensus,coregulate,monitor,plan,consensus,emotion,consensus,coregulate,emotion,cohesion,plan,consensus,,
A,discuss,consensus,plan,plan,emotion,monitor,plan,plan,monitor,cohesion,consensus,discuss,synthesis,plan,emotion,,,,,,,,,,,
A,monitor,monitor,,,,,,,,,,,,,,,,,,,,,,,,
A,adapt,emotion,plan,plan,monitor,plan,consensus,discuss,synthesis,consensus,discuss,consensus,discuss,coregulate,emotion,cohesion,,,,,,,,,,
A,plan,consensus,discuss,emotion,consensus,cohesion,coregulate,emotion,discuss,cohesion,emotion,cohesion,coregulate,plan,emotion,cohesion,consensus,coregulate,emotion,consensus,,,,,,
A,discuss,consensus,discuss,,,,,,,,,,,,,,,,,,,,,,,
A,cohesion,coregulate,plan,emotion,discuss,consensus,coregulate,consensus,plan,consensus,plan,plan,consensus,coregulate,,,,,,,,,,,,
A,monitor,consensus,plan,,,,,,,,,,,,,,,,,,,,,,,
